,country,date,close
111,Norway,2020-12-16,622.77
112,Netherlands,2020-12-16,622.77
113,Sweden,2020-12-15,633.25
114,USA,2020-12-15,633.25
115,USA,2020-12-15,633.25
116,USA,2020-12-14,639.83
117,USA,2020-12-11,609.99
118,USA,2020-12-11,609.99
119,Japan,2020-12-11,609.99
120,USA,2020-12-11,609.99
121,France,2020-12-11,609.99
122,USA,2020-12-10,627.07
123,United Kingdom,2020-12-10,627.07
124,Sweden,2020-12-09,604.48
125,Germany,2020-12-09,604.48
126,United Kingdom,2020-12-08,649.88
127,New Zealand,2020-12-08,649.88
128,USA,2020-12-08,649.88
129,United Kingdom,2020-12-08,649.88
130,USA,2020-12-07,641.76
131,USA,2020-12-04,599.04
132,USA,2020-12-04,599.04
133,United Kingdom,2020-12-04,599.04
134,Slovakia,2020-12-03,593.38
135,New Zealand,2020-12-02,568.82
136,Germany,2020-12-01,584.76
137,Austria,2020-11-30,567.6
138,Norway,2020-11-27,585.76
139,USA,2020-11-25,574.0
140,USA,2020-11-25,574.0
141,USA,2020-11-24,555.38
142,New Zealand,2020-11-24,555.38
143,China,2020-11-20,489.61
144,USA,2020-11-20,489.61
145,USA,2020-11-20,489.61
146,USA,2020-11-20,489.61
147,USA,2020-11-19,499.27
148,USA,2020-11-18,486.64
149,USA,2020-11-18,486.64
150,USA,2020-11-18,486.64
151,Norway,2020-11-18,486.64
152,USA,2020-11-18,486.64
153,Netherlands,2020-11-18,486.64
154,USA,2020-11-17,441.61
155,USA,2020-11-17,441.61
156,USA,2020-11-13,408.5
157,USA,2020-11-13,408.5
158,USA,2020-11-13,408.5
159,Mexico,2020-11-12,411.76
160,France,2020-11-09,421.26
161,Iceland,2020-11-09,421.26
162,United Kingdom,2020-11-09,421.26
163,Germany,2020-11-06,429.95
164,USA,2020-11-06,429.95
165,USA,2020-11-05,438.09
166,USA,2020-11-05,438.09
167,USA,2020-11-05,438.09
168,France,2020-11-05,438.09
169,USA,2020-11-05,438.09
170,USA,2020-11-04,420.98
171,Belgium,2020-11-02,400.51
172,USA,2020-10-30,388.04
173,USA,2020-10-30,388.04
174,USA,2020-10-30,388.04
175,Spain,2020-10-29,410.83
176,USA,2020-10-29,410.83
177,China,2020-10-29,410.83
178,Spain,2020-10-28,406.02
179,USA,2020-10-28,406.02
180,Canada,2020-10-23,420.63
181,USA,2020-10-21,422.64
182,Slovenia,2020-10-20,421.94
183,USA,2020-10-19,430.83
184,France,2020-10-19,430.83
185,USA,2020-10-15,448.88
186,USA,2020-10-15,448.88
187,Norway,2020-10-14,461.3
188,USA,2020-10-13,446.65
189,Italy,2020-10-12,442.3
190,USA,2020-10-08,425.92
191,Germany,2020-10-08,425.92
192,USA,2020-10-07,425.3
193,France,2020-10-07,425.3
194,USA,2020-10-05,425.68
195,USA,2020-10-02,415.09
196,USA,2020-10-02,415.09
197,Netherlands,2020-10-01,448.16
198,USA,2020-10-01,448.16
199,United Kingdom,2020-10-01,448.16
200,USA,2020-09-30,429.01
201,United Kingdom,2020-09-29,419.07
202,Netherlands,2020-09-29,419.07
203,Taiwan,2020-09-25,407.34
204,United Kingdom,2020-09-24,387.79
205,USA,2020-09-22,424.23
206,Canada,2020-09-18,442.15
207,USA,2020-09-18,442.15
208,USA,2020-09-17,423.43
209,Germany,2020-09-16,441.76
210,USA,2020-09-15,449.76
211,Taiwan,2020-09-15,449.76
212,Germany,2020-09-10,371.34
213,USA,2020-09-09,366.28
214,USA,2020-09-04,418.32
215,USA,2020-09-04,418.32
216,USA,2020-09-04,418.32
217,USA,2020-09-03,407.0
218,USA,2020-09-03,407.0
219,Norway,2020-09-03,407.0
220,USA,2020-09-03,407.0
221,Germany,2020-09-01,475.05
222,USA,2020-08-28,442.68
223,USA,2020-08-27,447.75
224,United Kingdom,2020-08-25,404.67
225,USA,2020-08-25,404.67
226,Portugal,2020-08-24,402.84
227,USA,2020-08-21,410.0
228,Germany,2020-08-20,400.37
229,USA,2020-08-18,377.42
230,Mexico,2020-08-14,330.14
231,USA,2020-08-14,330.14
232,France,2020-08-11,274.88
