Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Status,Open Date,Links
"Limoges, France",2 Avenue d Uzurat,Limoges,,87280,France,10,150,"45.867722, 1.271213",307,OPEN,6/20/2019,gmap | forum | tesla
"Mo i Rana, Norway","Stigerplatåveien 2, by Circle K gas station",Mo i Rana,,8626,Norway,8,150,"66.307715, 14.152268",40,OPEN,6/19/2019,gmap | forum | tesla
"Palm Springs, CA",N Museum Dr at N Belardo Rd,Palm Springs,CA,92262,USA,11,72,"33.824931, -116.548824",143,OPEN,6/19/2019,gmap | forum | tesla
"Chico, CA",1951 E 20th St,Chico,CA,95928,USA,14,150,"39.726633, -121.802538",70,OPEN,6/19/2019,gmap | forum | tesla
"Robbinsdale, MN",3435 W Broadway Ave,Robbinsdale,MN,55422,USA,8,150,"45.018928, -93.32583",265,OPEN,6/18/2019,gmap | forum | tesla
"Glendale - Cooper Ave, NY",8000 Cooper Ave,Glendale,NY,11385,USA,10,72,"40.707962, -73.867167",23,OPEN,6/17/2019,gmap | forum | tesla
"Brooklyn - Atlantic Ave, NY",625 Atlantic Ave,Brooklyn,NY,11217,USA,12,72,"40.683738, -73.974953",17,OPEN,6/16/2019,gmap | forum | tesla
"Evergreen Park, IL",9200 S Western Ave,Evergreen Park,IL,60805,USA,10,150,"41.725315, -87.683693",201,OPEN,6/16/2019,gmap | forum | tesla
"Central Coast, NSW",Bryant Drive & Wyong Road,Tuggerah,NSW,2259,Australia,6,120,"-33.3101, 151.420682",7,OPEN,6/15/2019,gmap | forum | tesla
"Ossining, NY",214 South Highland Ave,Ossining,NY,10510,USA,12,150,"41.144011, -73.861472",21,OPEN,6/14/2019,gmap | forum | tesla
"Bussigny, Switzerland",Route de Condémine 35,Bussigny,,1030,Switzerland,14,130,"46.556706, 6.561566",475,OPEN,6/14/2019,gmap | forum | tesla
