Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Status,Open Date,Links
"Granada, Spain",Moraleda de Zafayona,Granada,,18370,Spain,10,150,"37.181805, -3.928417",594,OPEN,9/8/2017,gmap | forum | tesla
"Fort Wayne, IN",6309 Lima Rd,Fort Wayne,IN,46818,USA,10,150,"41.138806, -85.163548",250,OPEN,9/8/2017,gmap | forum | tesla
"Michaelwood Services Northbound, UK","M5 Junction 13/14, Lower Wick, Dursley, Gloucestershire",Dursley,,GL11 6DD,United Kingdom,8,130,"51.656431, -2.434545",31,OPEN,9/7/2017,gmap | forum | tesla
"Hermitage, PA",2381 South Hermitage Road,Hermitage,PA,16148,USA,8,,"41.201068, -80.455205",420,OPEN,9/5/2017,gmap | forum | tesla
"Aberdeen, MD","Maryland House Sevice Plaza, I-95",Aberdeen,MD,21001,USA,8,150,"39.498017, -76.231196",76,OPEN,9/1/2017,gmap | forum | tesla
"La Vale, MD",11601 Winchester Road,La Vale,MD,21502,USA,8,120,"39.63626, -78.845748",331,OPEN,9/1/2017,gmap | forum | tesla
"Rawlins, WY",2370 East Cedar Street,Rawlins,WY,82301,USA,8,150,"41.79082, -107.210272",2042,OPEN,9/1/2017,gmap | forum | tesla
"Laramie, WY",1673 Centennial Drive,Laramie,WY,82070,USA,8,150,"41.32512, -105.618117",2180,OPEN,8/31/2017,gmap | forum | tesla
"Breezewood, PA",16417 Lincoln Hwy,Breezewood,PA,15533,USA,8,,"39.999842, -78.238697",395,OPEN,8/25/2017,gmap | forum | tesla
"Stateline, NV",50 US-50,Stateline,NV,89449,USA,14,150,"38.963471, -119.940651",1896,OPEN,8/25/2017,gmap | forum | tesla
"Taipei Neihu, Taiwan",台北市內湖區民權東路六段11巷6號 (西側廠區),台北,,,Taiwan,9,,"25.067286, 121.577015",8,OPEN,8/21/2017,gmap | forum | tesla
"Live Oak, FL",6886 US-129,Live Oak,FL,32060,USA,12,150,"30.331363, -82.961355",38,OPEN,8/20/2017,gmap | forum | tesla
"Tordesillas, Spain","Hotel Resort El Montico, Ctra. Burgos Salamanca, KM. 147",Tordesillas,,47100,Spain,8,150,"41.516125, -4.943023",692,OPEN,8/20/2017,gmap | forum | tesla
"Sarasota, FL",5901 North Honore Ave,Sarasota,FL,34232,USA,20,150,"27.386687, -82.464441",7,OPEN,8/19/2017,gmap | forum | tesla
"Grasonville, MD","Royal Farms, 108 Jackson Creek Rd",Grasonville,MD,21638,USA,12,,"38.965706, -76.220905",2,OPEN,8/18/2017,gmap | forum | tesla
"Shenzhen - Merchants Square, China",1166 Wanghai Road,Shenzhen,Guangdong,,China,10,,"22.48140966, 113.91614193",0,OPEN,8/16/2017,gmap | forum | tesla
"Guilderland, NY",1 Crossgates Mall Rd,Guilderland,NY,12203,USA,20,,"42.688932, -73.853554",80,OPEN,8/16/2017,gmap | forum | tesla
"Lifton, UK",1 Fore St.,Lifton,,PL16 0AA,United Kingdom,8,150,"50.643377, -4.284553",84,OPEN,8/15/2017,gmap | forum | tesla
"Palmi, Italy","Hotel Stella Maris, Contrada S. Gaetano",Palmi,,,Italy,4,150,"38.366929, 15.869555",229,OPEN,8/14/2017,gmap | forum | tesla
"Edmonton, AB",Whitemud and 111 St,Edmonton,AB,,Canada,8,150,"53.486136, -113.515746",684,OPEN,8/12/2017,gmap | forum | tesla
"Brisbane, QLD",1058 to 1062 Ann St,Fortitude Valley,QLD,4006,Australia,4,150,"-27.451321, 153.040734",5,OPEN,8/10/2017,gmap | forum | tesla
"Rock Springs, WY",2441 Foothill Blvd,Rock Springs,WY,82901,USA,8,150,"41.580815, -109.262137",1904,OPEN,8/10/2017,gmap | forum | tesla
"Monterey, CA",1100 Del Monte Center,Monterey,CA,93940,USA,10,150,"36.585729, -121.898765",67,OPEN,8/10/2017,gmap | forum | tesla
"Pinellas Park, FL",3101 Gandy Blvd,Pinellas Park,FL,33782,USA,8,,"27.8461, -82.678114",4,OPEN,8/10/2017,gmap | forum | tesla
"Steele, AL",905 Steele Station Rd,Steele,AL,35987,USA,8,,"33.933824, -86.191611",171,OPEN,8/9/2017,gmap | forum | tesla
"Trento, Italy","Via Innsbruck, 11, 38121",Trento,,,Italy,10,150,"46.111577, 11.092008",195,OPEN,8/8/2017,gmap | forum | tesla
"Taiyuan - Huayu, China",132 Xuefu Street,Taiyuan,Shanxi,,China,6,,"37.806606, 112.547974",781,OPEN,8/2/2017,gmap | forum | tesla
"Falls Creek, PA",1867 Rich Highway,Falls Creek,PA,15840,USA,8,150,"41.14072, -78.784725",425,OPEN,8/2/2017,gmap | forum | tesla
"Zhangjiakou - Shengdebao, China",No.16 Zhangxuan Road,Zhangjiakou,Hebei,,China,6,,"40.755268, 114.906113",719,OPEN,8/2/2017,gmap | forum | tesla
"Qingdao - Xingde, China",Roadside Assistance:400 910 0707,Qingdao,Shandong,,China,6,,"36.137863, 120.428917",36,OPEN,8/2/2017,gmap | forum | tesla
"Maoming - Dongyuan Hotel, China",33 Guanshan 4th Road,Maoming,Guangdong,,China,6,,"21.6696178073, 110.9330452535",25,OPEN,8/2/2017,gmap | forum | tesla
"Yibin - City Celebrity Hotel, China",No. 152 Cuiping Cypress Avenue,Yibin,Sichuan,,China,4,,"28.7494054464, 104.6050000142",252,OPEN,8/2/2017,gmap | forum | tesla
"Shanghai - Changfeng Joy City, China",No.196 Daduhe Road,Shanghai,Shanghai,200062,China,6,,"31.221857, 121.395027",6,OPEN,8/2/2017,gmap | forum | tesla
"Hengyang - Linyin Hotel, China",Roadside Assistance: 400 910 0707,Hengyang,Hunan,,China,6,,"26.8913548155, 112.5532900737",69,OPEN,8/2/2017,gmap | forum | tesla
"Shanghai - Wanchuang Center, China",No.200 Jinsu Road,Shanghai,Shanghai,,China,10,,"31.257751, 121.628975",3,OPEN,8/2/2017,gmap | forum | tesla
"Morano Calabro, Italy",Loc. Campotenese,Morano Calabro,,87016,Italy,4,150,"39.875989, 16.065094",971,OPEN,7/31/2017,gmap | forum | tesla
"McAllen, TX",800 Convention Center Blvd,McAllen,TX,78501,USA,8,150,"26.198443, -98.259839",34,OPEN,7/28/2017,gmap | forum | tesla
"Cambridge, OH",2101 Southgate Pkwy,Cambridge,OH,43725,USA,8,,"40.003569, -81.574967",242,OPEN,7/26/2017,gmap | forum | tesla
"Erwin, NY",125 Victory Highway,Painted Post,NY,14870,USA,10,,"42.170919, -77.107728",288,OPEN,7/25/2017,gmap | forum | tesla
"Wuhan - Yuexiu Fortune Center, China","No.1 Zhongshan Ave, Qiaokou Rd",Wuhan,Hubei,,China,6,,"30.568027, 114.25013",29,OPEN,7/24/2017,gmap | forum | tesla
"Nanaimo, BC",6631 N Island Hwy,Nanaimo,BC,V9V 1T7,Canada,8,150,"49.237883, -124.054722",103,OPEN,7/20/2017,gmap | forum | tesla
"Fuzhou - Mingcheng Center, China",No.68 Jiangbin East Avenue,Fuzhou,Fujian,,China,6,,"26.016642, 119.398346",1,OPEN,7/20/2017,gmap | forum | tesla
"Evanston, WY",101 Wasatch Rd,Evanston,WY,82930,USA,8,150,"41.263157, -110.985309",2080,OPEN,7/18/2017,gmap | forum | tesla
Shenzhen - Longgang Tianan Cyber Park,No.447 Huangge Road,Shenzhen,Guangdong,518172,China,6,,"22.719709, 114.216164",59,OPEN,7/18/2017,gmap | forum | tesla
"Chongqing - Jiayu Hotel, China",206 Zhigang Avenue,Chongqing,Chongqing,,China,8,,"29.504059, 106.530479",187,OPEN,7/18/2017,gmap | forum | tesla
"Huai'an - Zhongye Huigu, China",N0.9 Nanchang North Road,Huai'an,Jiangsu,,China,4,,"33.614437, 119.061371",13,OPEN,7/18/2017,gmap | forum | tesla
Hangzhou-West Intime,380 Fengtai Road,Zhejiang,Zhejiang,,China,6,,"30.300096, 120.108108",9,OPEN,7/18/2017,gmap | forum | tesla
"Busan, South Korea",부산광역시 해운대구 해운대해변로 296,부산,,,South Korea,6,,"35.160676, 129.163823",17,OPEN,7/17/2017,gmap | forum | tesla
"San Luis de la Paz, Mexico",km 87.740 México 57,San Luis de la Paz,Guanajuato,,Mexico,6,,"21.294528, -100.593546",1985,OPEN,7/17/2017,gmap | forum | tesla
"San Francisco Ocotlán, Mexico","Autopista México Puebla Km 115 San Francisco Ocotlán, Puebla Mexico 72680",San Francisco Ocotlán,Puebla,,Mexico,6,,"19.131853, -98.267274",2191,OPEN,7/15/2017,gmap | forum | tesla
"Temascalcingo, Mexico",km. 118 de José María Velasco,Temascalcingo,México,,Mexico,6,,"19.856342, -100.042983",2533,OPEN,7/14/2017,gmap | forum | tesla
"Sailly-Flibeaucourt, France",A16 - Aire de la Baie de Somme,Sailly-Flibeaucourt,,80970,France,10,150,"50.167321, 1.755505",10,OPEN,7/13/2017,gmap | forum | tesla
"Toulon, France",80 Chemin de la Capellane,La Seyne-sur-Mer,,83500,France,8,150,"43.121199, 5.85086",10,OPEN,7/13/2017,gmap | forum | tesla
"St. Pölten, Austria","Roseggerstraße 4, 3100 St.",St. Pölten,,,Austria,8,125,"48.205756, 15.618428",269,OPEN,7/13/2017,gmap | forum | tesla
"Grenada, MS",2030 Sunset Dr,Grenada,MS,38901,USA,8,,"33.787384, -89.849614",87,OPEN,7/8/2017,gmap | forum | tesla
"Truth or Consequences, NM",2201 F G AMIN ST,Truth or Consequences,NM,87901,USA,8,150,"33.15524, -107.251642",1353,OPEN,7/8/2017,gmap | forum | tesla
"Val-de-Meuse, France","D132, A31 near Langres",Val-de-Meuse,,,France,16,150,"47.99147, 5.51296",355,OPEN,7/8/2017,gmap | forum | tesla
"Kortrijk, Belgium","President Kennedylaan, 8500",Kortrijk,,8500,Belgium,12,150,"50.805626, 3.274434",26,OPEN,7/8/2017,gmap | forum | tesla
"Lavik, Norway",Gnr 74 Bnr 65,Lavik,,,Norway,10,150,"61.103869, 5.51268",16,OPEN,7/7/2017,gmap | forum | tesla
"Marshall, MI",15252 US Hwy 27 N,Marshall,MI,49068,USA,8,150,"42.292009, -84.964122",289,OPEN,7/6/2017,gmap | forum | tesla
"Sequim, WA",1441 East Washington Street,Sequim,WA,98382,USA,8,150,"48.071232, -123.074527",54,OPEN,7/5/2017,gmap | forum | tesla
"Tainan, Taiwan","No. 66 Sec. 2, Wenhua Rd",Tainan,,,Taiwan,8,,"22.936091, 120.221582",8,OPEN,7/5/2017,gmap | forum | tesla
"Shijiazhuang-Haiyue, China",66 West Yuhua Road,Shijiazhuang,Hebei,,China,6,,"38.034492, 114.471977",78,OPEN,7/5/2017,gmap | forum | tesla
"Sørkjosen, Norway","behind Joker store, Ringveien 45",Sørkjosen,,9152,Norway,6,150,"69.792498, 20.93907",9,OPEN,7/2/2017,gmap | forum | tesla
"Töcksfors, Sweden",Töcksfors Handels Linudden 1,Töcksfors,,,Sweden,20,150,"59.509437, 11.822381",118,OPEN,7/1/2017,gmap | forum | tesla
"Dows, IA",904 Cardinal Ave,Dows,IA,50071,USA,8,150,"42.673838, -93.462294",360,OPEN,6/30/2017,gmap | forum | tesla
"Skibotn, Norway",By Nordkalottsenteret along E6,Skibotn,,9143,Norway,6,150,"69.392448, 20.268423",1,OPEN,6/30/2017,gmap | forum | tesla
"Kapfenberg, Austria",Werk-VI-Straße 28,Kapfenberg,,,Austria,12,125,"47.450336, 15.317516",514,OPEN,6/30/2017,gmap | forum | tesla
"Verviers, Belgium","Van Der Valk Hotel, Rue de la Station 4",Verviers,,087 30 56 56,Belgium,8,150,"50.592323, 5.848511",163,OPEN,6/29/2017,gmap | forum | tesla
"Arlington, WA","Angel of the Winds Casino,3438 Stoluckquamish Ln",Arlington,WA,98223,USA,16,150,"48.21237, -122.183551",94,OPEN,6/28/2017,gmap | forum | tesla
"Ludington, MI",3900 W US Hwy 10,Ludington,MI,49431,USA,8,150,"43.957103, -86.376093",197,OPEN,6/23/2017,gmap | forum | tesla
"Hedensted, Denmark",10 Kildeparken,Hedensted,,,Denmark,16,150,"55.786395, 9.667926",63,OPEN,6/23/2017,gmap | forum | tesla
"Caldes de Malavella, Spain","Carretera N-II, km. 701",Caldes de Malavella,,17455,Spain,10,150,"41.859029, 2.767237",132,OPEN,6/21/2017,gmap | forum | tesla
"Valenciennes, France",Rue de Maugré59220 Rouvignies,Rouvignies,,,France,10,150,"50.336704, 3.455931",51,OPEN,6/21/2017,gmap | forum | tesla
"Tanum, Sweden","by Tanum Shopping center, Brehogsvägen 6",Tanum,,45732,Sweden,8,150,"58.72117, 11.34538",49,OPEN,6/20/2017,gmap | forum | tesla
"Seoul - Yeoido, South Korea",서울특별시 영등포구 국제금융로 10,서울특별시,,,South Korea,5,,"37.52526, 126.925714",17,OPEN,6/19/2017,gmap | forum | tesla
"Daegu, South Korea",대구광역시 북구 유통단지로 90,대구광역시,,,South Korea,6,,"35.907022, 128.613115",35,OPEN,6/19/2017,gmap | forum | tesla
"Wonju, South Korea",강원도 원주시 지정면 오크밸리2길 58,원주시,,,South Korea,6,,"37.435072, 127.818718",296,OPEN,6/18/2017,gmap | forum | tesla
"Pau, France","by Hôtel Kyriad Prestige, 2 rue Suzanne Lenglen, exit 10 from E80",Pau,,64000,France,8,150,"43.332257, -0.358762",210,OPEN,6/18/2017,gmap | forum | tesla
"Aire de Châteauvillain - Val Marnay, France",A5 - Aire de Châteauvillain-Val MarnayChâteauvillain,Châteauvillain,,52120,France,6,150,"48.057341, 4.959604",256,OPEN,6/18/2017,gmap | forum | tesla
"Aire de Châteauvillain - Orges, France",A5 - Aire de Châteauvillain-OrgesChâteauvillain,Châteauvillain,,52120,France,6,150,"48.057681, 4.96061",257,OPEN,6/18/2017,gmap | forum | tesla
"Xiamen-One Park Mall, China",No.1 Erli Riyuan,Xiamen,Fujian,,China,6,,"24.514809, 118.161575",0,OPEN,6/18/2017,gmap | forum | tesla
"Changzhou-Changfa Plaza, China",101-1 East Taihua Road,Changzhou,Jiangsu,,China,6,,"31.812589, 119.979492",8,OPEN,6/18/2017,gmap | forum | tesla
"Gaoxin Xi'an, China",72 Gaoxin RoadXi'an,Xi'an,Shaanxi,,China,4,,"34.221073, 108.897087",409,OPEN,6/18/2017,gmap | forum | tesla
"Wuhan - Brabus Auto Park, China",538 Jiangcheng Avenue,Wuhan,Hubei,,China,6,,"30.479657, 114.190621",25,OPEN,6/18/2017,gmap | forum | tesla
"Changzhou - Changfa Mansion, China",No. 5 Yanzheng Middle Rd,Changzhou,Jiangsu,,China,6,,"31.696607, 119.953329",6,OPEN,6/18/2017,gmap | forum | tesla
"Ulanqab-Aowei Plaza, China",199 Enhe Street Ulanqab,Ulanqab,Inner Mongolia,,China,4,,"41.035297, 113.110115",1402,OPEN,6/18/2017,gmap | forum | tesla
"Chengdu - Longemont Hotel, China",No. 8 Jialingjiang Rd,Chengdu,Sichuan,,China,6,120,"30.630953, 104.145454",512,OPEN,6/18/2017,gmap | forum | tesla
"Jiangmen - Dierhanyu, China",No.336 No.336 Qniglan RdHigh Tech Development Zone,Jiangmen,Guangdong,,China,4,120,"22.560246, 113.1381",-2,OPEN,6/18/2017,gmap | forum | tesla
"Huizhou - Longhai, China",Taoqian Industrial Zone,Huizhou,Guangdong,,China,6,120,"22.978951, 114.452499",17,OPEN,6/18/2017,gmap | forum | tesla
"Haikou - Jinghua, China",No.21 Yusha Road Haikou,Haikou,Hainan,,China,6,120,"20.02696, 110.318741",17,OPEN,6/18/2017,gmap | forum | tesla
"Bristol, TN",428 Pinnacle Pkwy,Bristol,TN,37620,USA,8,150,"36.591697, -82.261339",549,OPEN,6/17/2017,gmap | forum | tesla
"Osage Beach, MO",919 Hwy D,Osage Beach,MO,65065,USA,8,150,"38.162028, -92.605238",242,OPEN,6/15/2017,gmap | forum | tesla
"Seoul - Jongno, South Korea",서울특별시 종로구 종로 33,서울,,,South Korea,6,,"37.570693, 126.981511",45,OPEN,6/12/2017,gmap | forum | tesla
"Cooma, NSW","85-91 Commissioner StreetCooma, NWS 2630",Cooma,NSW,2630,Australia,4,130,"-36.235522, 149.126794",793,OPEN,6/12/2017,gmap | forum | tesla
"Charleston, WV",100 Kanawha Blvd East,Charleston,WV,25301,USA,8,,"38.354712, -81.642845",181,OPEN,6/11/2017,gmap | forum | tesla
"Heusden-Zolder, Belgium","Industrieweg 3-9, 3550 Heusden-Zolder",Heusden-Zolder,,,Belgium,12,150,"50.993363, 5.242222",31,OPEN,6/8/2017,gmap | forum | tesla
"Vrgorac, Croatia",Zagrebačka ul. 31,Vrgorac,,,Croatia,6,125,"43.204105, 17.373824",224,OPEN,6/3/2017,gmap | forum | tesla
"Florida City, FL",33505 S Dixie Hwy,Florida City,FL,33034,USA,8,150,"25.456825, -80.474341",1,OPEN,6/2/2017,gmap | forum | tesla
"Victor, NY",7979 Pittsford Victor Rd,Victor,NY,14564,USA,8,,"43.028655, -77.440128",208,OPEN,6/1/2017,gmap | forum | tesla
"Bolingbrook, IL",755 E Boughton Rd,Bolingbrook,IL,60440,USA,16,250,"41.722189, -88.037278",226,OPEN,5/31/2017,gmap | forum | tesla
"Athens, AL",1325 US-72,Athens,AL,35611,USA,8,150,"34.785443, -86.942964",207,OPEN,5/31/2017,gmap | forum | tesla
"Seoul - Gangnam, South Korea",서울특별시 강남구 테헤란로 521,서울,,,South Korea,5,,"37.509215, 127.06079",30,OPEN,5/31/2017,gmap | forum | tesla
"Cheonan, South Korea",충청남도 천안시 동남구 성남면 종합휴양지로 200,천안,,,South Korea,6,,"36.757187, 127.224121",105,OPEN,5/31/2017,gmap | forum | tesla
"Cerignola, Italy","km 3,600 Via Manfredonia",Cerignola,,71042,Italy,8,150,"41.306389, 15.899738",67,OPEN,5/31/2017,gmap | forum | tesla
"San Giovanni Teatino, Italy",280 Via Pietro Nenni,San Giovanni Teatino,,66020,Italy,8,150,"42.399194, 14.16396",23,OPEN,5/31/2017,gmap | forum | tesla
"Warwick Southbound, UK","M40, Welcome Break Service, South",Warwick,,CV35 0AA,United Kingdom,8,150,"52.219105, -1.502085",83,OPEN,5/28/2017,gmap | forum | tesla
"Schaffhausen, Switzerland",Schweizersbildstrasse 20,Schaffhausen,,8207,Switzerland,8,125,"47.721034, 8.646353",469,OPEN,5/24/2017,gmap | forum | tesla
"Little Rock, AR",11231 Bass Pro Pkwy off of I-430,Little Rock,AR,72209,USA,10,150,"34.6614, -92.41031",95,OPEN,5/20/2017,gmap | forum | tesla
"Bratislava, Slovakia","Aupark Shopping Center, Einsteinova 18, 851 01",Bratislava,,,Slovakia,6,130,"48.132138, 17.108438",136,OPEN,5/20/2017,gmap | forum | tesla
"Wilmington, NC",1022 International Drive,Wilmington,NC,28405,USA,10,150,"34.240825, -77.829189",7,OPEN,5/16/2017,gmap | forum | tesla
"Flatonia, TX",1415 FM 609 at I-10,Flatonia,TX,78941,USA,8,150,"29.697904, -97.099993",128,OPEN,5/14/2017,gmap | forum | tesla
"Popcorn, Hong Kong",9 Tong Yin Street,Hong Kong,Hong Kong,,China,2,,"22.307793, 114.259783",1,OPEN,5/12/2017,gmap | forum | tesla
"Elements, Hong Kong",1 1 Austin Road,Hong Kong,Hong Kong,,China,4,,"22.30488, 114.161519",22,OPEN,5/12/2017,gmap | forum | tesla
"Maritime Square, Hong Kong",33 Tsing King Road,Hong Kong,Hong Kong,,China,2,,"22.359281, 114.108184",50,OPEN,5/12/2017,gmap | forum | tesla
"Tupelo, MS",1001 Barnes Crossing Road,Tupelo,MS,38804,USA,8,,"34.311515, -88.700843",83,OPEN,5/11/2017,gmap | forum | tesla
"Sidney, NE",645 Cabela Drive,Sidney,NE,69162,USA,8,150,"41.115424, -102.949694",1291,OPEN,5/10/2017,gmap | forum | tesla
"Saint-Brieuc, France",23 Rue Blaise Pascal,Saint-Brieuc,,22360,France,8,150,"48.493453, -2.722645",104,OPEN,5/2/2017,gmap | forum | tesla
"Grantham, UK","Grantham North Services, Trunk Rd",Grantham,,NG32 2AB,United Kingdom,16,150,"52.948794, -0.677802",44,OPEN,4/29/2017,gmap | forum | tesla
"Milford, CT","Connecticut Post Mall, 1201 Post Rd",Milford,CT,6460,USA,14,,"41.238035, -73.036156",6,OPEN,4/28/2017,gmap | forum | tesla
"Apeldoorn, Netherlands","Van Golsteinlaan 20, 7339 GT",Ugchelen,,,Netherlands,12,150,"52.177996, 5.912627",42,OPEN,4/27/2017,gmap | forum | tesla
"Ballacolla, Ireland","Topaz Service Station Junction 3, M8",Ballacolla,,,Ireland,8,130,"52.86704, -7.481818",92,OPEN,4/26/2017,gmap | forum | tesla
"Monroe, WA",15067 N Kelsey St,Monroe,WA,98272,USA,12,150,"47.86274, -121.97672",20,OPEN,4/25/2017,gmap | forum | tesla
"Arlington, TX",1200 Ballpark Way,Arlington,TX,76011,USA,10,150,"32.754659, -97.082823",164,OPEN,4/22/2017,gmap | forum | tesla
"El Paso, TX",6401 Desert BLVD,El Paso,TX,79932,USA,8,150,"31.8839, -106.58379",1180,OPEN,4/22/2017,gmap | forum | tesla
"Aix-en-Provence - Val de l'Arc, France",Avenue des Infirmeries 13100 Aix-en-Provence,Aix-en-Provence,,,France,8,150,"43.511938, 5.466433",149,OPEN,4/20/2017,gmap | forum | tesla
"Urvillers, France",A26 Aire d'Urvillers,Urvillers,,,France,8,150,"49.787019, 3.335626",104,OPEN,4/13/2017,gmap | forum | tesla
"Santa Fe, NM",8380 Cerrillos Road,Santa Fe,NM,87507,USA,8,150,"35.611793, -106.032196",1961,OPEN,4/13/2017,gmap | forum | tesla
"Warwick Northbound, UK","M40, Welcome Break Service, North",Warwick,,CV35 0AA,United Kingdom,8,150,"52.216831, -1.50513",83,OPEN,4/12/2017,gmap | forum | tesla
"Gweirah, Jordan","Aqaba, Jordan",Aqaba,,,Jordan,4,130,"29.825562, 35.332523",830,OPEN,4/2/2017,gmap | forum | tesla
"Vinstra, Norway","By Circle-K station at Vinstra vegpark, 81 Rustveien",Vinstra,,2640,Norway,12,150,"61.591797, 9.722393",266,OPEN,4/1/2017,gmap | forum | tesla
"Albacete, Spain",KM 52 La Gineta,Albacete,,2110,Spain,8,150,"39.134675, -2.039013",705,OPEN,3/29/2017,gmap | forum | tesla
"Myrtle Beach, SC","Coastal Grand Mall, 2000 Coastal Grand Cir",Myrtle Beach,SC,29577,USA,10,150,"33.704388, -78.925172",6,OPEN,3/25/2017,gmap | forum | tesla
"Shanghai - Manpo Plaza, China",No. 500 Yanan West Road,Shanghai,Shanghai,,China,6,,"31.216944, 121.436203",7,OPEN,3/21/2017,gmap | forum | tesla
"Woodall Southbound, UK","Woodall Motorway Services Area, M1 (south)",Sheffield,,S26 7XR,United Kingdom,8,125,"53.314145, -1.281904",128,OPEN,3/21/2017,gmap | forum | tesla
"Newport Pagnell Southbound, UK","M1, Newport Pagnell",Newport Pagnell,,MK16 8DS,United Kingdom,12,150,"52.084312, -0.748467",71,OPEN,3/21/2017,gmap | forum | tesla
"Maribor, Slovenia","Along E59 southbound, 20 Na polju",Maribor,,2000,Slovenia,6,130,"46.533247, 15.699366",244,OPEN,3/18/2017,gmap | forum | tesla
"Langon, France",Centre Commercial Moléon,Langon,,33210,France,10,150,"44.54244, -0.253972",26,OPEN,3/17/2017,gmap | forum | tesla
"Klamath Falls, OR",1401 Washburn Way,Klamath Falls,OR,97603,USA,8,150,"42.216906, -121.756218",1250,OPEN,3/16/2017,gmap | forum | tesla
"Rocky View, AB","CrossIron Mills Outlets Mall, 261055 Crossiron Blvd",Rocky View,AB,T4A 0G3,Canada,8,120,"51.20412, -113.989686",1085,OPEN,3/15/2017,gmap | forum | tesla
"Waterloo, NY",1133 Ridge Road,Waterloo,NY,13165,USA,8,150,"42.970012, -76.846134",156,OPEN,3/12/2017,gmap | forum | tesla
"Aire de Saint-Priest, France",69800 Saint-Pries S.,Saint-Priest,,,France,6,150,"45.698042, 4.975513",236,OPEN,3/9/2017,gmap | forum | tesla
"Aire de Manissieux, France",69800 Saint-Priest N.,Saint-Priest,,,France,6,150,"45.69848, 4.977541",240,OPEN,3/9/2017,gmap | forum | tesla
"Las Vegas Blvd South, NV",6509 S Las Vegas Blvd,Las Vegas,NV,89119,USA,10,150,"36.070633, -115.17295",673,OPEN,3/8/2017,gmap | forum | tesla
"Mercato San Severino, Italy",12 Via Bagnara,Mercato San Severino,,84085,Italy,6,150,"40.771952, 14.746048",153,OPEN,3/7/2017,gmap | forum | tesla
"Hoorn, Netherlands","Hotel Van der Valk Hotel Hoorn, Westfriese Parkweg 1,",Hoorn,,,Netherlands,12,150,"52.650769, 5.038917",-2,OPEN,3/3/2017,gmap | forum | tesla
"San Juan del Río, Mexico",202 Avenida Carretera Panamericana Poniente,San Juan del Río,Querétaro,76800,Mexico,6,,"20.384501, -100.012926",1921,OPEN,2/28/2017,gmap | forum | tesla
"Naples, FL",499 Bayfront Place,Naples,FL,34102,USA,8,,"26.14462, -81.788849",2,OPEN,2/23/2017,gmap | forum | tesla
"Hamilton, New Zealand",Te Rapa Road & Wairere Drive,Hamilton,,3200,New Zealand,4,,"-37.74754, 175.23248",36,OPEN,2/23/2017,gmap | forum | tesla
"Occhiobello, Italy",36 Via Eridania,Occhiobello,,45030,Italy,8,150,"44.918787, 11.594051",6,OPEN,2/22/2017,gmap | forum | tesla
"Van Horn, TX",1921 SW Frontage Rd,Van Horn,TX,79855,USA,8,150,"31.03448, -104.861431",1230,OPEN,2/20/2017,gmap | forum | tesla
"Cagnes-sur-Mer, France",119 Avenue des Alpes,Cagnes-sur-Mer,,6800,France,4,125,"43.666446, 7.127372",31,OPEN,2/15/2017,gmap | forum | tesla
"Sisteron, France",1 Allée des Tilleuls,Sisteron,,,France,12,250,"44.226199, 5.913554",505,OPEN,2/15/2017,gmap | forum | tesla
"Fukuoka, Japan","Kasuya-gun, Sue-machi, Tabiishi",Fukuoka,,811-2221,Japan,6,,"33.588526, 130.497193",22,OPEN,2/14/2017,gmap | forum | tesla
"Masdar City, UAE",Masdar City,Abu Dhabi,,,United Arab Emirates,4,130,"24.440819, 54.618899",4,OPEN,2/14/2017,gmap | forum | tesla
"Jebel Ali - Northbound, UAE",Sheikh Zayed Road,Dubai,,,United Arab Emirates,4,125,"24.910732, 54.962517",7,OPEN,2/14/2017,gmap | forum | tesla
"Shenzhen - Futian Tianan Cyber Park, China",No.25 4th Tairan Road,Shenzhen,Guangdong,,China,6,,"22.52968, 114.031258",10,OPEN,2/8/2017,gmap | forum | tesla
"Merritt, BC",3969 Crawford Ave,Merritt,BC,V1K 0A4,Canada,8,,"50.124377, -120.751136",634,OPEN,1/27/2017,gmap | forum | tesla
"Taipei, Taiwan",1 Yumen St,Taipei,,,Taiwan,6,,"25.06867, 121.52126",7,OPEN,1/24/2017,gmap | forum | tesla
"Ballarat, VIC",Gillies Street N,Ballarat,VIC,3355,Australia,6,,"-37.534593, 143.822666",464,OPEN,1/23/2017,gmap | forum | tesla
"Dordrecht, Netherlands","Laan van Europa 1600, 3317 DB",Dordrecht,,,Netherlands,16,150,"51.774425, 4.653024",-2,OPEN,1/20/2017,gmap | forum | tesla
"Ozona, TX",1307 Avenue A,Ozona,TX,76943,USA,6,150,"30.706696, -101.195962",718,OPEN,1/19/2017,gmap | forum | tesla
"Ariza, Spain","Calle Carr. de Madrid, 197",Ariza,,50220,Spain,6,150,"41.313192, -2.002201",726,OPEN,1/18/2017,gmap | forum | tesla
"Heyuan - Hilton Hotel, China",123 Yuewang St,Heyuan,Guangdong,517000,China,4,,"23.767788, 114.719269",41,OPEN,1/13/2017,gmap | forum | tesla
"Ningbo - Roman, China",575 South Tiantong Rd,Ningbo,Zhejiang,,China,6,,"29.799688, 121.546448",5,OPEN,1/13/2017,gmap | forum | tesla
"Lima, MT","108 Bailey St,",Lima,MT,59739,USA,8,150,"44.632745, -112.591203",1912,OPEN,1/9/2017,gmap | forum | tesla
