,country,city,status,open_date,lat,long
643,USA,Brooklyn,OPEN,2019-06-16,40.683738,-73.974953
644,USA,Evergreen Park,OPEN,2019-06-16,41.725315,-87.683693
645,Australia,Tuggerah,OPEN,2019-06-15,-33.3101,151.420682
646,USA,Ossining,OPEN,2019-06-14,41.144011,-73.861472
647,Switzerland,Bussigny,OPEN,2019-06-14,46.556706,6.561566
648,Spain,Cantabria,OPEN,2019-06-13,43.355686,-4.094038
649,USA,Yorktown Heights,OPEN,2019-06-13,41.29053,-73.832532
650,USA,Malibu,OPEN,2019-06-13,34.037043,-118.685809
651,USA,Olathe,OPEN,2019-06-11,38.912194,-94.795583
652,France,Villers-Semeuse,OPEN,2019-06-10,49.736827,4.744083
653,USA,Wall,OPEN,2019-06-05,43.994145,-102.24214
654,Australia,Berry,OPEN,2019-06-05,-34.807884,150.63719
655,USA,Mission,OPEN,2019-06-02,39.02,-94.661182
656,Norway,Lærdal,OPEN,2019-05-30,61.064428,7.509793
657,USA,Kill Devil Hills,OPEN,2019-05-30,35.993328,-75.651124
658,USA,Philadelphia,OPEN,2019-05-26,39.951276,-75.158667
659,USA,Las Vegas,OPEN,2019-05-25,36.168474,-115.286829
660,USA,Las Vegas,OPEN,2019-05-24,36.168897,-115.286579
661,USA,Big Sur,OPEN,2019-05-24,36.226876,-121.761506
662,USA,Barnegat,OPEN,2019-05-23,39.759418,-74.253461
663,USA,San Francisco,OPEN,2019-05-23,37.798513,-122.449846
664,Germany,Kirchheim bei München,OPEN,2019-05-21,48.150947,11.74846
665,Mexico,San Pedro Garza García,OPEN,2019-05-21,25.659054,-100.354133
666,USA,Kissimmee,OPEN,2019-05-21,28.331356,-81.532453
667,USA,Clare,OPEN,2019-05-19,43.820359,-84.76675
668,USA,San Diego,OPEN,2019-05-19,32.952645,-117.235974
669,USA,San Jose,OPEN,2019-05-17,37.244638,-121.891141
670,USA,Anaheim,OPEN,2019-05-15,33.866724,-117.747373
671,USA,St. Charles,OPEN,2019-05-15,38.765655,-90.493552
672,USA,Fairfield,OPEN,2019-05-11,38.256667,-122.065139
673,USA,Zionsville,OPEN,2019-05-10,39.950563,-86.343779
674,Switzerland,Dietikon,OPEN,2019-05-09,47.418041,8.396577
675,USA,Rohnert Park,OPEN,2019-05-09,38.3475,-122.720944
676,Canada,North York,OPEN,2019-05-07,43.776092,-79.344287
677,Austria,Langkampfen,OPEN,2019-05-07,47.534556,12.09294
678,USA,Miami,OPEN,2019-05-05,25.764706,-80.194629
679,USA,Pleasanton,OPEN,2019-05-01,37.700508,-121.908364
680,USA,Boston,OPEN,2019-04-28,42.344691,-71.099322
681,Canada,Vancouver,OPEN,2019-04-28,49.281942,-123.120042
682,USA,Marlton,OPEN,2019-04-26,39.878055,-74.918765
683,USA,Arlington,OPEN,2019-04-19,38.887481,-77.092956
684,Mexico,Ciudad de México,OPEN,2019-04-19,19.376999,-99.253381
685,China,Heyuan,OPEN,2019-04-19,23.627675,114.63175
686,Belgium,Edegem,OPEN,2019-04-18,51.1506204,4.4334085
687,Sweden,Töre,OPEN,2019-04-18,65.911576,22.657062
